DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
K55069,"Acute infarction of intestine, part and extent unspecified",K5506,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
D582,Other hemoglobinopathies,D58,ICD10,HEMOLYTIC ANEMIAS (D55-D59),
G5780,Other specified mononeuropathies of unspecified lower limb,G578,ICD10,"NERVE, NERVE ROOT AND PLEXUS DISORDERS (G50-G59)",
S3210XA,"Unsp fracture of sacrum, init encntr for closed fracture",S3210,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
G219,"Secondary parkinsonism, unspecified",G21,ICD10,EXTRAPYRAMIDAL AND MOVEMENT DISORDERS (G20-G26),
S79191A,"Oth physeal fracture of lower end of right femur, init",S79191,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
S32501D,"Unsp fracture of right pubis, subs for fx w routn heal",S32501,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
I39,Endocarditis and heart valve disord in dis classd elswhr,,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
K209,"Esophagitis, unspecified",,ICD10,"DISEASES OF ESOPHAGUS, STOMACH AND DUODENUM (K20-K31)",
T814XXD,"Infection following a procedure, subsequent encounter",T814,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
T670XXD,"Heatstroke and sunstroke, subsequent encounter",T670,ICD10,OTHER AND UNSPECIFIED EFFECTS OF EXTERNAL CAUSES (T66-T78),
T45521A,"Poisoning by antithrombotic drugs, accidental, init",T45521,ICD10,"POISONING BY, ADVERSE EFFECTS OF AND UNDERDOSING OF DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES (T36-T50)",
B665,Fasciolopsiasis,B66,ICD10,HELMINTHIASES (B65-B83),
Z4932,Encounter for adequacy testing for peritoneal dialysis,Z493,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
M84521A,"Pathological fracture in neoplastic disease, r humerus, init",M84521,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
K580,Irritable bowel syndrome with diarrhea,K58,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
Z85830,Personal history of malignant neoplasm of bone,Z8583,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
S46091A,"Inj musc/tend the rotator cuff of right shoulder, init",S46091,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
I361,Nonrheumatic tricuspid (valve) insufficiency,I36,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",M05,ICD10,INFLAMMATORY POLYARTHROPATHIES (M05-M14),
Z310,Encounter for reversal of previous sterilization,Z31,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
V182XXA,"Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, init",V182,ICD10,PEDAL CYCLE RIDER INJURED IN TRANSPORT ACCIDENT (V10-V19),
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,662,
I6502,Occlusion and stenosis of left vertebral artery,I650,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
M85811,"Oth disrd of bone density and structure, right shoulder",M8581,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
M154,Erosive (osteo)arthritis,M15,ICD10,OSTEOARTHRITIS (M15-M19),
S6292XD,"Unsp fracture of left wrs/hnd, subs for fx w routn heal",S6292,ICD10,"INJURIES TO THE WRIST, HAND AND FINGERS (S60-S69)",
Z765,Malingerer [conscious simulation],Z76,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN OTHER CIRCUMSTANCES (Z69-Z76),
T884XXA,"Failed or difficult intubation, initial encounter",T884,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
C434,Malignant melanoma of scalp and neck,C43,ICD10,MELANOMA AND OTHER MALIGNANT NEOPLASMS OF SKIN (C43-C44),
I619,"Nontraumatic intracerebral hemorrhage, unspecified",I61,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
K651,Peritoneal abscess,K65,ICD10,DISEASES OF PERITONEUM AND RETROPERITONEUM (K65-K68),
I7410,Embolism and thrombosis of unspecified parts of aorta,I741,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
G5132,"Clonic hemifacial spasm, left",G513,ICD10,"NERVE, NERVE ROOT AND PLEXUS DISORDERS (G50-G59)",
D71,Functional disorders of polymorphonuclear neutrophils,,ICD10,OTHER DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS (D70-D77),
B3789,Other sites of candidiasis,B378,ICD10,MYCOSES (B35-B49),
J920,Pleural plaque with presence of asbestos,J92,ICD10,OTHER DISEASES OF THE PLEURA (J90-J94),
Z9114,Patient's other noncompliance with medication regimen,,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
Z431,Encounter for attention to gastrostomy,Z43,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
I69328,Oth speech/lang deficits following cerebral infarction,I6932,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
T07XXXA,"Unspecified multiple injuries, initial encounter",T07,ICD10,INJURIES INVOLVING MULTIPLE BODY REGIONS (T07),
I8311,Varicose veins of right lower extremity with inflammation,I831,ICD10,"DISEASES OF VEINS, LYMPHATIC VESSELS AND LYMPH NODES, NOT ELSEWHERE CLASSIFIED (I80-I89)",
Z483,Aftercare following surgery for neoplasm,Z48,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
I63521,Cereb infrc d/t unsp occls or stenos of right ant cereb art,I6352,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
S72302A,"Unsp fracture of shaft of left femur, init for clos fx",S72302,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
I63231,Cereb infrc due to unsp occls or stenos of right carotid art,I6323,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
V877XXA,"Person injured in collision betw oth mtr veh (traffic), init",V877,ICD10,OTHER LAND TRANSPORT ACCIDENTS (V80-V89),
S72001S,"Fracture of unspecified part of neck of right femur, sequela",S72001,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
K31819,Angiodysplasia of stomach and duodenum without bleeding,K3181,ICD10,"DISEASES OF ESOPHAGUS, STOMACH AND DUODENUM (K20-K31)",
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z933,Colostomy status,Z93,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
M13851,"Other specified arthritis, right hip",M1385,ICD10,INFLAMMATORY POLYARTHROPATHIES (M05-M14),
M84459A,"Pathological fracture, hip, unsp, init encntr for fracture",M84459,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
M87078,Idiopathic aseptic necrosis of left toe(s),M8707,ICD10,OTHER OSTEOPATHIES (M86-M90),
S93402D,"Sprain of unspecified ligament of left ankle, subs encntr",S93402,ICD10,INJURIES TO THE ANKLE AND FOOT (S90-S99),
Z191,Hormone sensitive malignancy status,Z19,ICD10,724,
M9702XA,"Periprosth fracture around internal prosth l hip jt, init",M9702,ICD10,680,
S24109A,"Unsp injury at unsp level of thoracic spinal cord, init",S24109,ICD10,INJURIES TO THE THORAX (S20-S29),
R2990,Unspecified symptoms and signs involving the nervous system,R299,ICD10,SYMPTOMS AND SIGNS INVOLVING THE NERVOUS AND MUSCULOSKELETAL SYSTEMS (R25-R29),
I4811,Longstanding persistent atrial fibrillation,I481,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
S0081XA,"Abrasion of other part of head, initial encounter",S0081,ICD10,INJURIES TO THE HEAD (S00-S09),
S32000D,"Wedge comprsn fx unsp lum vertebra, subs for fx w routn heal",S32000,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
I6310,Cerebral infarction due to embolism of unsp precerb artery,I631,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
W5501XD,"Bitten by cat, subsequent encounter",W5501,ICD10,EXPOSURE TO ANIMATE MECHANICAL FORCES (W50-W64),
I5041,Acute combined systolic and diastolic (congestive) hrt fail,I504,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
C001,Malignant neoplasm of external lower lip,C00,ICD10,"MALIGNANT NEOPLASMS OF LIP, ORAL CAVITY AND PHARYNX (C00-C14)",
N3942,Incontinence without sensory awareness,N394,ICD10,OTHER DISEASES OF THE URINARY SYSTEM (N30-N39),
M10342,"Gout due to renal impairment, left hand",M1034,ICD10,INFLAMMATORY POLYARTHROPATHIES (M05-M14),
H6591,"Unspecified nonsuppurative otitis media, right ear",H659,ICD10,DISEASES OF MIDDLE EAR AND MASTOID (H65-H75),
S41109A,"Unspecified open wound of unspecified upper arm, init encntr",S41109,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
G3184,"Mild cognitive impairment, so stated",G318,ICD10,OTHER DEGENERATIVE DISEASES OF THE NERVOUS SYSTEM (G30-G32),
J411,Mucopurulent chronic bronchitis,J41,ICD10,CHRONIC LOWER RESPIRATORY DISEASES (J40-J47),
S20212A,"Contusion of left front wall of thorax, initial encounter",S20212,ICD10,INJURIES TO THE THORAX (S20-S29),
I25798,Atherosclerosis of CABG w oth angina pectoris,I2579,ICD10,ISCHEMIC HEART DISEASES (I20-I25),
H9012,"Condctv hear loss, uni, left ear, w unrestr hear cntra side",H901,ICD10,OTHER DISORDERS OF EAR (H90-H94),
Z7984,Long term (current) use of oral hypoglycemic drugs,Z798,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
I63422,Cerebral infrc due to embolism of left ant cerebral artery,I6342,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
M75112,"Incomplete rotatr-cuff tear/ruptr of l shoulder, not trauma",M7511,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
Z95828,Presence of other vascular implants and grafts,Z9582,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
Z800,Family history of malignant neoplasm of digestive organs,Z80,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
L8990,"Pressure ulcer of unspecified site, unspecified stage",L899,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
I5020,Unspecified systolic (congestive) heart failure,I502,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
E160,Drug-induced hypoglycemia without coma,E16,ICD10,OTHER DISORDERS OF GLUCOSE REGULATION AND PANCREATIC INTERNAL SECRETION (E15-E16),
I729,Aneurysm of unspecified site,I72,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
M79661,Pain in right lower leg,M7966,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
I80299,Phlebitis and thombophlb of deep vessels of unsp low extrm,I8029,ICD10,"DISEASES OF VEINS, LYMPHATIC VESSELS AND LYMPH NODES, NOT ELSEWHERE CLASSIFIED (I80-I89)",
K435,Parastomal hernia without obstruction or gangrene,K43,ICD10,HERNIA (K40-K46),
I745,Embolism and thrombosis of iliac artery,I74,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
H53121,"Transient visual loss, right eye",H5312,ICD10,VISUAL DISTURBANCES AND BLINDNESS (H53-H54),
I5043,Acute on chronic combined systolic and diastolic hrt fail,I504,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
Z6826,"Body mass index (BMI) 26.0-26.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
H8302,"Labyrinthitis, left ear",H830,ICD10,DISEASES OF INNER EAR (H80-H83),
H00016,"Hordeolum externum left eye, unspecified eyelid",H0001,ICD10,"DISORDERS OF EYELID, LACRIMAL SYSTEM AND ORBIT (H00-H05)",
N9089,Oth noninflammatory disorders of vulva and perineum,N908,ICD10,NONINFLAMMATORY DISORDERS OF FEMALE GENITAL TRACT (N80-N98),
I379,"Nonrheumatic pulmonary valve disorder, unspecified",I37,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
Z6828,"Body mass index [BMI] 28.0-28.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
M160,Bilateral primary osteoarthritis of hip,M16,ICD10,OSTEOARTHRITIS (M15-M19),
Z9119,Patient's noncompliance w oth medical treatment and regimen,,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
Z7952,Long term (current) use of systemic steroids,Z795,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
G300,Alzheimer's disease with early onset,G30,ICD10,OTHER DEGENERATIVE DISEASES OF THE NERVOUS SYSTEM (G30-G32),
D699,"Hemorrhagic condition, unspecified",D69,ICD10,"COAGULATION DEFECTS, PURPURA AND OTHER HEMORRHAGIC CONDITIONS (D65-D69)",
E440,Moderate protein-calorie malnutrition,E44,ICD10,MALNUTRITION (E40-E46),
T420X1A,"Poisoning by hydantoin derivatives, accidental, init",T420X1,ICD10,"POISONING BY, ADVERSE EFFECTS OF AND UNDERDOSING OF DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES (T36-T50)",
N130,Hydronephrosis with ureteropelvic junction obstruction,N13,ICD10,RENAL TUBULO-INTERSTITIAL DISEASES (N10-N16),
S92912A,"Unsp fracture of left toe(s), init for clos fx",S92912,ICD10,INJURIES TO THE ANKLE AND FOOT (S90-S99),
Z91048,Other nonmedicinal substance allergy status,Z9104,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
Z48810,Encntr for surgical aftcr fol surgery on the sense organs,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
M25519,Pain in unspecified shoulder,M2551,ICD10,OTHER JOINT DISORDERS (M20-M25),
E0590,"Thyrotoxicosis, unsp without thyrotoxic crisis or storm",E059,ICD10,DISORDERS OF THYROID GLAND (E00-E07),
M810,Age-related osteoporosis w/o current pathological fracture,M81,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
N3941,Urge incontinence,N394,ICD10,OTHER DISEASES OF THE URINARY SYSTEM (N30-N39),
R64,Cachexia,,ICD10,GENERAL SYMPTOMS AND SIGNS (R50-R69),
R000,"Tachycardia, unspecified",R00,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
K7581,Nonalcoholic steatohepatitis (NASH),K758,ICD10,DISEASES OF LIVER (K70-K77),
N259,"Disorder rslt from impaired renal tubular function, unsp",N25,ICD10,OTHER DISORDERS OF KIDNEY AND URETER (N25-N29),
K560,Paralytic ileus,K56,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
Z8589,Personal history of malignant neoplasm of organs and systems,Z858,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
M00862,"Arthritis due to other bacteria, left knee",M0086,ICD10,INFECTIOUS ARTHROPATHIES (M00-M02),
L97511,Non-prs chronic ulcer oth prt r foot limited to brkdwn skin,L9751,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
I5022,Chronic systolic (congestive) heart failure,I502,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
S00211A,"Abrasion of right eyelid and periocular area, init encntr",S00211,ICD10,INJURIES TO THE HEAD (S00-S09),
M79632,Pain in left forearm,M7963,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
R7402,Elevation of levels of lactic acid dehydrogenase [LDH],R740,ICD10,"ABNORMAL FINDINGS ON EXAMINATION OF BLOOD, WITHOUT DIAGNOSIS (R70-R79)",
Z6845,"Body mass index [BMI] 70 or greater, adult",Z684,ICD10,BODY MASS INDEX [BMI] (Z68),
K226,Gastro-esophageal laceration-hemorrhage syndrome,K22,ICD10,"DISEASES OF ESOPHAGUS, STOMACH AND DUODENUM (K20-K31)",
S82101A,"Unsp fracture of upper end of right tibia, init for clos fx",S82101,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
H548,"Legal blindness, as defined in USA",H54,ICD10,VISUAL DISTURBANCES AND BLINDNESS (H53-H54),
I161,Hypertensive emergency,I16,ICD10,HYPERTENSIVE DISEASES (I10-I16),
Z89522,Acquired absence of left knee,Z8952,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
D680,Von Willebrand's disease,D68,ICD10,"COAGULATION DEFECTS, PURPURA AND OTHER HEMORRHAGIC CONDITIONS (D65-D69)",
I484,Atypical atrial flutter,I48,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
E872,Acidosis,E87,ICD10,METABOLIC DISORDERS (E70-E88),
C579,"Malignant neoplasm of female genital organ, unspecified",C57,ICD10,MALIGNANT NEOPLASMS OF FEMALE GENITAL ORGANS (C51-C58),
Q180,"Sinus, fistula and cyst of branchial cleft",Q18,ICD10,"CONGENITAL MALFORMATIONS OF EYE, EAR, FACE AND NECK (Q10-Q18)",
R7881,Bacteremia,R788,ICD10,"ABNORMAL FINDINGS ON EXAMINATION OF BLOOD, WITHOUT DIAGNOSIS (R70-R79)",
M79603,"Pain in arm, unspecified",M7960,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
H9209,"Otalgia, unspecified ear",H920,ICD10,OTHER DISORDERS OF EAR (H90-H94),
C561,Malignant neoplasm of right ovary,C56,ICD10,MALIGNANT NEOPLASMS OF FEMALE GENITAL ORGANS (C51-C58),
S68119D,"Complete traumatic MCP amputation of unsp finger, subs",S68119,ICD10,"INJURIES TO THE WRIST, HAND AND FINGERS (S60-S69)",
M7661,"Achilles tendinitis, right leg",M766,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
G9009,Other idiopathic peripheral autonomic neuropathy,G900,ICD10,OTHER DISORDERS OF THE NERVOUS SYSTEM (G89-G99),
M84471A,"Pathological fracture, right ankle, init encntr for fracture",M84471,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
R198,Oth symptoms and signs involving the dgstv sys and abdomen,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
I6991,Cognitive deficits following unsp cerebrovascular disease,I699,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
K644,Residual hemorrhoidal skin tags,K64,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
K5790,"Dvrtclos of intest, part unsp, w/o perf or abscess w/o bleed",K579,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
Z8679,Personal history of other diseases of the circulatory system,Z867,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
H6242,"Otitis externa in oth diseases classd elswhr, left ear",H624,ICD10,DISEASES OF EXTERNAL EAR (H60-H62),
I462,Cardiac arrest due to underlying cardiac condition,I46,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
H6120,"Impacted cerumen, unspecified ear",H612,ICD10,DISEASES OF EXTERNAL EAR (H60-H62),
R300,Dysuria,R30,ICD10,SYMPTOMS AND SIGNS INVOLVING THE GENITOURINARY SYSTEM (R30-R39),
T8459XA,"Infect/inflm reaction due to oth internal joint prosth, init",T8459,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
C4360,"Malignant melanoma of unsp upper limb, including shoulder",C436,ICD10,MELANOMA AND OTHER MALIGNANT NEOPLASMS OF SKIN (C43-C44),
S3992XA,"Unspecified injury of lower back, initial encounter",S3992,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
K759,"Inflammatory liver disease, unspecified",K75,ICD10,DISEASES OF LIVER (K70-K77),
M792,"Neuralgia and neuritis, unspecified",M79,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
Z283,Underimmunization status,Z28,ICD10,662,
L300,Nummular dermatitis,L30,ICD10,DERMATITIS AND ECZEMA (L20-L30),
S81811A,"Laceration w/o foreign body, right lower leg, init encntr",S81811,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
R1084,Generalized abdominal pain,R108,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
T43292A,"Poisoning by oth antidepressants, self-harm, init",T43292,ICD10,"POISONING BY, ADVERSE EFFECTS OF AND UNDERDOSING OF DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES (T36-T50)",
D72824,Basophilia,D7282,ICD10,OTHER DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS (D70-D77),
R801,"Persistent proteinuria, unspecified",R80,ICD10,"ABNORMAL FINDINGS ON EXAMINATION OF URINE, WITHOUT DIAGNOSIS (R80-R82)",
B0223,Postherpetic polyneuropathy,B022,ICD10,VIRAL INFECTIONS CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS (B00-B09),
D649,"Anemia, unspecified",D64,ICD10,APLASTIC AND OTHER ANEMIAS AND OTHER BONE MARROW FAILURE SYNDROMES (D60-D64),
C7802,Secondary malignant neoplasm of left lung,C780,ICD10,"MALIGNANT NEOPLASMS OF ILL-DEFINED, OTHER SECONDARY AND UNSPECIFIED SITES (C76-C80)",
K4021,"Bilateral inguinal hernia, w/o obst or gangrene, recurrent",K402,ICD10,HERNIA (K40-K46),
N12,"Tubulo-interstitial nephritis, not spcf as acute or chronic",,ICD10,RENAL TUBULO-INTERSTITIAL DISEASES (N10-N16),
N358,Other urethral stricture,N35,ICD10,OTHER DISEASES OF THE URINARY SYSTEM (N30-N39),
Q796,Ehlers-Danlos syndrome,Q79,ICD10,CONGENITAL MALFORMATIONS AND DEFORMATIONS OF THE MUSCULOSKELETAL SYSTEM (Q65-Q79),
T444X5A,"Adverse effect of predom alpha-adrenocpt agonists, init",T444X5,ICD10,"POISONING BY, ADVERSE EFFECTS OF AND UNDERDOSING OF DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES (T36-T50)",
H81399,"Other peripheral vertigo, unspecified ear",H8139,ICD10,DISEASES OF INNER EAR (H80-H83),
F3189,Other bipolar disorder,F318,ICD10,MOOD [AFFECTIVE] DISORDERS (F30-F39),
I82599,Chronic embolism and thombos of deep vein of unsp low extrm,I8259,ICD10,"DISEASES OF VEINS, LYMPHATIC VESSELS AND LYMPH NODES, NOT ELSEWHERE CLASSIFIED (I80-I89)",
I482,Chronic atrial fibrillation,I48,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
S41102D,"Unspecified open wound of left upper arm, subs encntr",S41102,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
F1121,"Opioid dependence, in remission",F112,ICD10,MENTAL AND BEHAVIORAL DISORDERS DUE TO PSYCHOACTIVE SUBSTANCE USE (F10-F19),
S335XXA,"Sprain of ligaments of lumbar spine, initial encounter",S335,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
F333,"Major depressv disorder, recurrent, severe w psych symptoms",F33,ICD10,MOOD [AFFECTIVE] DISORDERS (F30-F39),
C602,Malignant neoplasm of body of penis,C60,ICD10,MALIGNANT NEOPLASMS OF MALE GENITAL ORGANS (C60-C63),
C662,Malignant neoplasm of left ureter,C66,ICD10,MALIGNANT NEOPLASMS OF URINARY TRACT (C64-C68),
R152,Fecal urgency,R15,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
I6981,Cognitive deficits following other cerebrovascular disease,I698,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
F200,Paranoid schizophrenia,F20,ICD10,"SCHIZOPHRENIA, SCHIZOTYPAL, DELUSIONAL, AND OTHER NON-MOOD PSYCHOTIC DISORDERS (F20-F29)",
I368,Other nonrheumatic tricuspid valve disorders,I36,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
L89622,"Pressure ulcer of left heel, stage 2",L8962,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
M4644,"Discitis, unspecified, thoracic region",M464,ICD10,SPONDYLOPATHIES (M45-M49),
S62629A,"Disp fx of medial phalanx of unsp finger, init for clos fx",S62629,ICD10,"INJURIES TO THE WRIST, HAND AND FINGERS (S60-S69)",
T8209XA,"Mech compl of heart valve prosthesis, initial encounter",T8209,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
R141,Gas pain,R14,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
C8584,"Oth types of non-hodg lymph, nodes of axilla and upper limb",C858,ICD10,"MALIGNANT NEOPLASMS OF LYMPHOID, HEMATOPOIETIC AND RELATED TISSUE (C81-C96)",
S52501F,"Unsp fx the low end r rad, 7thF",S52501,ICD10,INJURIES TO THE ELBOW AND FOREARM (S50-S59),
S7290XF,"Unsp fx unsp femur, subs for opn fx type 3A/B/C w routn heal",S7290,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
B72,Dracunculiasis,,ICD10,HELMINTHIASES (B65-B83),
S02609K,"Fracture of mandible, unsp, subs for fx w nonunion",S02609,ICD10,INJURIES TO THE HEAD (S00-S09),
I25709,"Atherosclerosis of CABG, unsp, w unsp angina pectoris",I2570,ICD10,ISCHEMIC HEART DISEASES (I20-I25),
T82598A,"Mech compl of cardiac and vascular devices and implnt, init",T82598,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
